Company Name,,Social Links/twitter,Social Links/Facebook,date,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/20/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/20/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/20/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/19/24,1,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/14/24,1,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/13/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/13/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/13/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/13/24,1,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/13/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/13/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,2,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,1,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/12/24,1,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/11/24,1,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/8/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/6/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,4,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
"OneMain Financial Group, LLC",,https://twitter.com/OneMain,https://www.facebook.com/OneMain,3/5/24,5,1961,1081,393
