Business Rating,Company Name,Contact,Social Links/youtube,Social Links/facebook,Social Links/twitter,date of review,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,1/19/24,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,1/12/24,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,12/14/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,12/10/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,11/1/23,3,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,10/20/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,10/16/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,8/27/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,8/18/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,8/11/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,7/18/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,7/15/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,5/11/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,5/10/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,4/6/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,4/1/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,3/13/23,1,45,75,18
A+,RISE Credit,"Ms. Nikki Lackey, Senior Manager, Executive Customer Management",https://www.youtube.com/user/risecredit,https://www.facebook.com/risecredit,https://twitter.com/risecreditus,2/25/23,1,45,75,18
