"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewRatingScore","reviewTitle","reviewUrl"
"MoneyLion","false","","2024-03-15T12:37:16.000Z","It's a great app for getting your credit score back in order and helping to improve it. I wish it offered a little more incentives for you boosting credit score by 5 or more points. Kind of like a pat on the shoulder “ wow we are impressed” or “keep up the good work” kind of thing. They walk you through the basic steps of improving your credit score and also have a feature where you can earn some money for little things like swagbucks, becoming lyft driver, and instacart. They even have a referral program with every friend you refer. It's definitely worth it to check out that's for sure 🙂","4","I'd recommend it ✨🌟","https://trustpilot.com/reviews/65f424db715b4320d53cd320"
"MoneyLion","false","","2024-03-10T22:43:40.000Z","Money lion is a great app.a great company I have been with money lion for a while great people very friendly and i never had a bad experience.office workers always helpful in answering questions about what ever you want to know. MG.","5","Money lion is a great app.a great…","https://trustpilot.com/reviews/65ee1b7b2c66e79a4a494127"
"MoneyLion","false","We saw your review, Jillian, and we were thrilled to see how much you're enjoying the services offered by MoneyLion. We look forward to earning a 5-star review in the future.","2024-02-05T23:30:55.000Z","Amazing way to earn a little extra money by boosting those who wanna do the same as u.... Get paid! While keeping a great eye on ur finances and bank accounts u can also build ur credit for only a $1 a month and take out cash advances up to $1000 if u set up direct deposit. The roar money bank card that is offered from moneylion also is a great tool helping save money and transfer money easy and painless also way cheaper than any other sites fees for doing those services.","4","Amazing way to earn a little extra…","https://trustpilot.com/reviews/65c1538f315e6bb9db540937"
"MoneyLion","false","We are so appreciative of the time you took to leave such a detailed review, Mark-Antuan! Thank you for sharing your experience and for choosing MoneyLion for your financial needs. We are very grateful to have members like you in our community.","2024-01-23T14:27:25.000Z","MoneyLion definitely ticks the box when it comes to full transparency with where my money is. Making the swtich over from another online banking platform, I immediately could sense all the things I had been missing. I now used them for all my emmergency payments and everything has been very smooth and secure so far.","5","MoneyLion definitely ticks the box when…","https://trustpilot.com/reviews/65afb0ac31c390a20f3f8c42"
"MoneyLion","false","","2024-03-08T19:22:31.000Z","I cannot delete my account. Spoke to customer service. Moneylion never let you delete your account even though customer want to and they keep customer's information. There is no choice for customer. Awful.","1","I cannot delete my account","https://trustpilot.com/reviews/65eb495671143dae8df448ed"
"MoneyLion","false","We truly appreciate you taking time to share your experience, Angela! Thank you for the positive rating and for choosing to join the MoneyLion community.","2024-02-23T18:18:36.000Z","This cash advance app does what it says it will do. There are no unpleasant surprises (more fees).","5","A Trustworthy App","https://trustpilot.com/reviews/65d8c55b3640e1b3d01734a0"
"MoneyLion","false","It’s an honor and a privilege to have you a part of our community! Thank you for taking the time today to leave this positive review, Kent!","2024-03-03T06:33:38.000Z","Their service is working and complete I'd recommend it to anyone!","5","Works very well!","https://trustpilot.com/reviews/65e3fda156c9fd238e260445"
"MoneyLion","false","Thanks for the great review, Dimitri! We're lovin that your're lovin MoneyLion!","2023-07-21T12:07:55.000Z","I think they great for people who need help with emergency bills low fees and quick payments and savings and investment opportunities what's not to like .so far I'm like money lion better than traditional banks who are slow and hard to deal with.","5","I think they great for people who need…","https://trustpilot.com/reviews/64ba58fbd3ca8cdde4cc0907"
"MoneyLion","false","Thank you so much for the compliment, Chris. We are truly grateful to have members like you in the MoneyLion community.","2023-11-24T01:17:07.000Z","MoneyLion just offers a Transparent atmosphere on the website, well built, enough and not to much on the site, Fees are very acceptable, and always there. MoneyLion just offers service not common today. Well Done.","5","MoneyLion Transperant","https://trustpilot.com/reviews/655fdd73b3b8a1a208cd98bf"
"MoneyLion","false","Thank you for taking time to leave a detailed review about your experience, Samantha. We are very happy to see that we were able to work through the struggle that you encountered when first trying to use the app, and we are glad to have you as part of the MoneyLion community.","2023-10-28T07:25:55.000Z","MoneyLion is really great. Every time I’ve needed to use their services, they are always reliable, and I can always depend on them for a payday advance.

When I first started using them, I had trouble with their systems not verifying my license, but after quite some time of waiting, they finally verified my information and identity and allowed me to start using their Instacash service.

I really appreciate MoneyLion and all of the assistance they provide to the people who use their services. There are a few trustworthy and dependable companies out there that you can get a quick cash advance or even a loan to build your credit from, and MoneyLion is definitely one of them.

Thanks, MoneyLion!","5","MoneyLion is one of the best!","https://trustpilot.com/reviews/653c9b63b70432726db85401"
