"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewLanguage","reviewRatingScore","reviewTitle","reviewUrl"
"OneMain Financial","true","Thank you so much for taking the time to leave a review for Tonya. Our team members strive to provide professional and friendly service to all of our customers. We truly do appreciate the recognition. -SG
","2024-03-13T02:09:16.000Z","My experience was absolutely fantastic! Tonya (I hope I got her name right) was absolutely wonderful 😊. We became best friends in a day. Her customer service was outstanding! I didn’t plan on refinancing my loan but she changed my mind and I got a lower payment. Well done! ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️","all","5","Outstanding service!!!!!!","https://trustpilot.com/reviews/65f0eeacb1c95d6fe65b2f39"
"OneMain Financial","true","We are very happy to hear about your positive experience with Teresa. We look forward to helping you reach your goals. -SG
","2024-03-13T15:07:11.000Z","The experience was great because the customer service team and representatives worked with us through a different time. We received emails and phone calls and text messages letting us know what we needed and where we were on the process. The outcome was positive and Teresa kept a smile. You could tell on the phone she was having a good day and liked coming to work.","all","5","The experience was great because of the customer service team","https://trustpilot.com/reviews/65f1a4fe25f72d2e3b36bee1"
"OneMain Financial","true","Hello Marie! We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-13T01:58:09.000Z","I can't say enough about my loan experience with One Main Financial on Tuesday, March 5, 2024. Forgive me for not remembering her name, but she was pleasant and yet professional. She put me at ease almost immediately. The whole interview to include approving the loan took about an hour. This is my third experience with One Main Financial and they always come through for me. Thank you One Financial.","all","5","I can't say enough about my loan…","https://trustpilot.com/reviews/65f0ec114bdca80a15d47104"
"OneMain Financial","true","Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T12:45:39.000Z","In a time when managing finances have become difficult, One Main was able to help me get the loan I was looking for to consolidate my debt. And my credit is far from perfect. The representative was very nice, professional, and knowledgeable. The process, which was done on line and some by phone, was a smooth and easy process. I am truly grateful for the assistance One Main gave me","all","5","Grateful","https://trustpilot.com/reviews/65f183d3fac94bf4058bd092"
"OneMain Financial","true","We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-13T13:38:14.000Z","My husband and I had a great experience with One Main Financial! We were going through an eviction process in our home and needed a loan to satisfy the outstanding balance. One Main helped us out tremendously. Their team and staff were very professional and kind. It was such an easy process!!!! If you’re looking for a loan, I believe they are here to be of help.","all","5","Best experience ever","https://trustpilot.com/reviews/65f190250a8216e54073abf6"
"OneMain Financial","true","Putting customers first is what we’re all about, Lydia. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-15T04:51:08.000Z","The person that helped me since she took my phone call was very sweet and professional. She was very sincere and acurate with the information she gave me at home.","all","5","The person that helped me since she…was Charlene Ott","https://trustpilot.com/reviews/65f3b79b680a63dff6a8057c"
"OneMain Financial","true","Thanks for the your feedback, Mark. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG","2024-03-13T13:56:07.000Z","I feel like you might need to train people to get a better grasp on understanding, self-employment income. I would think that would be a large part of your business nowadays with many people owning their own businesses. The objective of business tax wise is to not show much personal income, But they withdraw what they need from the business income. Just FYI.","all","3","Better training","https://trustpilot.com/reviews/65f194561d7b7c70c16bf13a"
"OneMain Financial","true","Hi Donna! Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T01:02:52.000Z","One main was a great experience did not give us any trouble make us feel bad it was seamless and they took care of us very well. We will definitely go back to them and refer them to friends and families thank you again one main.","all","5","One main was a great experience did not…","https://trustpilot.com/reviews/65f0df1bc9c3541906ec46f9"
"OneMain Financial","true","Hi Teresa! Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T04:05:53.000Z","I had a loan with them years ago so when I needed money I knew I would go back to them because of the GREAT customer service. This time was even better because I didn't have to leave home, I did everything from my phone, they made everything so simple and easy, they gave me options on the amount as well as explaining everything so that I could understand it and answer all of my questions . GREAT PLACE!!","all","5","I had a loan with them years ago so…","https://trustpilot.com/reviews/65f10a004c47b0b48bdb9fb3"
"OneMain Financial","true","Hi Seanna! Thank you for choosing us and for sharing your experience! Improving finances is a journey and we're glad to start that process with you. Don't forget to take advantage of our helpful articles, tools, and tips at: https://www.onemainfinancial.com/resources -SG
","2024-03-12T23:48:14.000Z","One Main gave me a chance to get my credit score up by believing in me and approving me for a car loan. It was a fast and easy “no nonsense” transaction. My rate is better than any where else I applied. I’d highly recommend OneMain 100%","all","5","One Main gave me a chance to get my…","https://trustpilot.com/reviews/65f0cd9e2f4c82d82d84ccc5"
