"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewRatingScore","reviewTitle","reviewUrl","reviewer"
"Upstart","true","","2024-03-14T23:50:30.000Z","I went pretty deep into credit debt because of life events. Having to get a traditional loan from a bank scared me just because of how likely it was I would be denied, and I needed someone to give me a chance to prove I could actually be responsible with money. Upstart has been one of the biggest reasons I've been able to whittle down what I owe, and I'll probably use them again in the future when I need to make a big purchase rather than dumping my money down the toilet with a credit card.","5","Saved Me From Eternal Debt","https://trustpilot.com/reviews/65f371253e0b48ac9ee36741","Fuss"
"Upstart","true","","2024-03-16T00:33:59.000Z","Upstart cut though all the red tape and made the process of applying for a loan extremely user friendly without lengthy paperwork. I received a very fair rate and offer in minutes. I highly recommend Upstart!!","5","Upstart cut though all the red tape","https://trustpilot.com/reviews/65f4ccd747845771b868f19b","Maria"
"Upstart","true","","2024-03-15T02:28:04.000Z","I have had several loans through Upstart and have found them to be an outstanding company with very helpful Customer Service Reps. I pay the loans off early and I love the no prepayment penalty. Loan applications are straightforward and easy. Good company to do business with and I appreciate that there are no hidden fees or surprises.","5","No such thing as Easy Money, but this is close!","https://trustpilot.com/reviews/65f396132865f52561c0479a","Coultzin"
"Upstart","true","","2024-03-16T19:00:29.000Z","What a great and easy way to get money, now I’m just hoping to get the motorcycle of my dreams thank you upstart","5","What a great and easy way to get money","https://trustpilot.com/reviews/65f5d02cd1d1596f7349365f","Edward"
"Upstart","true","","2024-03-14T06:00:53.000Z","The information and process applying for a loan was very easy and I was able to use get around the application and information forms easily. And with the quick direct deposit and set up of reoccurring payments all set up, I feel good and glad the process is done at one time.","5","The information and process applying…","https://trustpilot.com/reviews/65f2767499d390254e6d7df6","Marilyn"
"Upstart","true","","2024-03-15T07:10:33.000Z","The process was easy, fast and safe. Really shocked how easy it was and how quickly I received my funding. Will definitely recommend to family and friends.","5","Super Happy With Process","https://trustpilot.com/reviews/65f3d84869e3c9a1002cc927","MJ"
"Upstart","true","","2024-03-12T14:44:20.000Z","I have used Upstart in the past. Quick process both times, rates are competitive or better than other lenders. I highly recommend this company.","5","I have used Upstart in the past","https://trustpilot.com/reviews/65f04e234fff9c40a1f645d4","Shelley"
"Upstart","true","","2024-03-16T06:30:56.000Z","fast easy reliable most importantly trust worthy. time to bost my credit score!","5","fast easy reliable most importantly…","https://trustpilot.com/reviews/65f5207fe3828d2a7106c565","Branded.vr"
"Upstart","true","","2024-03-14T19:11:55.000Z","Upstart is the fastest and most convenient way to get a loan. I worked with them before and would recommend them over anyone else
","5","Upstart is the fastest and most…","https://trustpilot.com/reviews/65f32fdab719ed00c394d3e4","Dorothy"
"Upstart","true","","2024-03-13T00:07:12.000Z","This process was quick and easy. I also didn’t have to talk to anybody on the phone who was trying to convince me to do something outside of my comfort zone. They offer the Best rate on the terms that I wanted.","5","Quick and easy","https://trustpilot.com/reviews/65f0d20f039b6c7e91e446aa","Mrs. W"
"Upstart","true","","2024-03-12T23:13:46.000Z","I found the ease of applying, and then the automatic checking of my bank account to verify my bank information. Also the double identity verification with a code being sent to my cell phone.","5","I found the ease of applying","https://trustpilot.com/reviews/65f0c58949f090e45175298e","Brian McManus"
"Upstart","true","","2024-03-12T17:19:45.000Z","I was in need and very reluctant to get this loan. The APR is pretty high but it doesn't matter if you are going to pay it off early like I am going to do. You will pay way less than what you see. It depends on how you pay it back and also what if I just want to pay the minimum, it is so low you can not miss a payment. Win-Win!! It was so fast and easy and I got a whoo-sah when It said funded.","5","I was in need and very reluctant to get…","https://trustpilot.com/reviews/65f072918234f1ef45e0e9bd","Jennifer"
"Upstart","true","","2024-03-16T21:31:45.000Z","quick and easy process. online application was simple and easy to navigate! Would highly recommend","5","quick and easy process","https://trustpilot.com/reviews/65f5f3a03a74e5ca18f87a71","Jennifer"
"Upstart","true","","2024-03-08T01:35:23.000Z","I was just wondering if I can get pre-approval for my loan but I actually got approved in literally 30 seconds! It's almost seem impossible bit it did happen and I am so grateful! Highly recommended!","5","I was just wondering if I can get…","https://trustpilot.com/reviews/65ea4f3b8434ef8cf53b977a","Tuyen"
"Upstart","true","","2024-03-09T00:46:49.000Z","Upstart is a great loan company. I've been able to rely on them for a loan for unexpected expenses. They have given me peace of mind during stressful times. I highly recommend them!","5","Upstart is a great loan company","https://trustpilot.com/reviews/65eb95585fae785e88d6ad38","L Werner"
"Upstart","true","","2024-03-06T21:45:12.000Z","Upstart is the easiest fastest way to get a professionally projected and processed personal loan for the average working person. They make it easy and clear to see all the fine details, fees, and processes involving your plans payments etc. highly recommend if you are in need of help financially.","5","Upstart is a game changer in financial struggles!","https://trustpilot.com/reviews/65e8c7c7355e09e317d275db","tommy bullard"
"Upstart","true","","2024-03-07T23:24:43.000Z","The process is so fast and seamless! I am a repeat customer and will only use Upstart for any personal loans! There are no issues with repayment either. I set it and never worry. Awesome company to deal with!!","5","Best Personal Loan Company","https://trustpilot.com/reviews/65ea309bf26cce1c4b23051a","Melissa"
"Upstart","true","","2024-03-06T18:11:59.000Z","This is my second personal loan with Upstart and they really make the process so easy. I love the ability to customize the loan that's right for you and I've never had a bad experience with their customer service. Having no penalty for early payment is a huge plus. Thank you so much for the great work and keep it up!","5","This is my second personal loan with…","https://trustpilot.com/reviews/65e895cfb1c4a096724268de","Nicole"
"Upstart","true","","2024-03-07T20:56:52.000Z","The process of applying for a personal loan was simple and easy. I did not have to wait long on the phone when I called about my application. The customer service rep was always courteous and knowledgeable. I would recommend Upstart to family and friends.","5","The process of applying for a personal…","https://trustpilot.com/reviews/65ea0df33ac55adcf80849d5","Erica Holmes"
"Upstart","true","","2024-03-09T18:49:23.000Z","This is my second loan through Upstart and the process was super easy both times. I used my funds to consolidate debt and have the ability to pay off my credit cards faster.","5","This is my second loan through Upstart…","https://trustpilot.com/reviews/65ec9312057c02fa59250bbe","Mary"
"Upstart","false","","2024-03-09T23:11:05.000Z","I have very good credit and have always paid my debt. This company offered the highest and most ridiculous interest rate I have ever seen. Then, they continued to try contact and sent emails telling me I was declined for a loan, when I never applied and when I in fact declined them. Bad business practice to put their inadequacies on the consumer. Your loss upstart.","1","Upstart review","https://trustpilot.com/reviews/65ecd0699f5039d375461914","cheryl palomino"
"Upstart","true","","2024-03-07T21:46:49.000Z","I had a very quick experience with carver bank via upstart. The rep william was very nice!
They quickly approved me after multiple documents were sent. I can't compain!","5","extra documents, but fast work","https://trustpilot.com/reviews/65ea19a9e1efa4a6be7e5ca1","customer"
"Upstart","true","","2024-03-12T02:54:40.000Z","FirstMark/Upstart were very professional and help me with all my questions and concerns. I recommend them for all financial needs.","5","FirstMark/Upstart were very…professional, and very helpful","https://trustpilot.com/reviews/65efa7cf73ba2728826a194f","Rene"
"Upstart","true","","2024-03-02T03:15:34.000Z","Having access in life is equally as important as having opportunity. Upstart provided both access and opportunity to make an upstart in my life. Always looking to increase my success led me to take a leap of faith in this company and online community. The experience with getting my loan was simple, seamless, and quick. Thank you for what you do. My advice for anyone: Take a leap of faith and get an upstart. Hallelujah!","5","Access and opportunity produces success","https://trustpilot.com/reviews/65e27db54635ee044153a650","Howard"
"Upstart","true","","2024-03-05T00:29:14.000Z","The process was easier then I thought. However the pleasant part was the staff each and every one of them were extremely professional and knowledgeable to assist me with the process. Thanks and I highly recommend upstart to all my family and friends.

","5","The process was easier then I thought","https://trustpilot.com/reviews/65e64b394e5f72db1e0f4f07","Patricia"
"Upstart","false","","2024-03-08T17:46:53.000Z","Zero customer service, you are dealing with robots. You will not talk to a real person, instead you get automated robot emails, that repeat the same thing. Inability to handle any payment issue that may arise.","1","Zero customer service","https://trustpilot.com/reviews/65eb32ecb86796dab3436eab","Laura Raymond"
"Upstart","false","","2024-03-07T19:40:54.000Z","I thought this place was a decent experience back in November. I was approved for a loan and was able to pay it off quickly (less time than they wanted I guess so they didn't make as much money) I applied again today and was denied because of BS credit, employment stuff. If anything my credit has improved and been employed for over 28 years with the same company. Don't waste your time with this place if you intend on paying back quickly and might need them again because as I said, if they can't make money from you they don't want you.","1","I thought this place was a decent…","https://trustpilot.com/reviews/65e9fc2681a8e3000918baf4","Darlene Cicerchia"
"Upstart","true","","2024-03-07T03:56:40.000Z","This loan was incredibly easy to apply for and it comes within 24 hours. Everything was explained in depth, and they didn't need the ridiculous amount of documentation that other creditors have needed.","5","AMAZING","https://trustpilot.com/reviews/65e91ed8eceeb80c854da32b","Ashley"
"Upstart","true","","2024-03-15T18:03:37.000Z","Very fast and efficient process. Was approved in minutes!","5","Very fast and efficient process","https://trustpilot.com/reviews/65f47157f729b7da8e9ae5e3","Jason"
"Upstart","true","","2024-03-04T11:33:19.000Z","Upstart not only helped me when I needed financial assistance the most but they aLos ensured I was approved for a loan the same day I applied. Thank you for your assistance.","5","Loans available when you need them the most","https://trustpilot.com/reviews/65e5955e8e773b05179c5dd7","Trace"
"Upstart","true","","2024-03-09T02:49:37.000Z","borrowing money is always stressful but the process is simple and easy through your company the application was easy and thorough and did not take that long to do","5","applying for loan","https://trustpilot.com/reviews/65ebb22016bbf3fc75a57ba5","Evelyn"
"Upstart","true","","2024-03-04T22:24:15.000Z","I was in a pinch for funds, an TrustPilot came through quickly and easily! I appreciate that I can pay off early and perhaps get some of the loan origination fee back.","5","I was in a pinch for funds","https://trustpilot.com/reviews/65e62def1da5fc74c232d1b1","customer"
"Upstart","true","","2024-03-15T18:25:25.000Z","I've used Upstart now three time and each has been simple, fast and helpful.","5","Easy, trusting and fast","https://trustpilot.com/reviews/65f47674305e612cad2d27a7","Brandon-Ross Howard"
"Upstart","true","","2024-03-10T22:22:07.000Z","I needed a quick, and easy loan and they came through!! I had some technical difficulties and they handled it right away and was so nice the entire time! Will do business with you again!","5","Quick and easy loan","https://trustpilot.com/reviews/65ee166e60145d297e3537a0","Jennifer Betcke"
"Upstart","true","","2024-03-06T01:40:07.000Z","This process is so straightforward and easy! No phone calls, nobody bugging me. Just the ability to look at the possibilities and the terms and say yes or no.","5","This process is so straightforward and…","https://trustpilot.com/reviews/65e7ad57129237e5c9989016","Satisfied customer"
"Upstart","false","","2024-03-15T22:18:36.000Z","Horrible company! Takes way too long and too much hassle for a tiny small loan! Not to mention the high fees and takes the fee $115 out of the loan and you get the remainder amount","1","Horrible company","https://trustpilot.com/reviews/65f4ad1b451ebfa1f1e90412","Hun Sun"
"Upstart","true","","2024-03-08T02:13:37.000Z","After going to my bank Wells Fargo and Discover I was not happy with the loan rates. This was super easy and I was approved for my loan in literally minutes.","5","After going to my bank Wells Fargo and…","https://trustpilot.com/reviews/65ea58307ed29a17a53a51fd","Robert Sandoval"
"Upstart","true","","2024-03-08T22:04:04.000Z","This was the fastest and easiest way to apply for a loan no hassle payment set up helps you save a lot of money to .","5","This is the best company to get a loan fast and easy no hassul","https://trustpilot.com/reviews/65eb6f33bb0a034691e9193a","Merle"
"Upstart","true","","2024-03-07T17:03:32.000Z","It was a blessing to have a company that was easy to get an emergency loan. The process was easily to go through for an approval. Rates are high but I will be able to pay off sooner.","5","It was a blessing to have a company…","https://trustpilot.com/reviews/65e9d743d97823a8c455f6bd","Sam"
"Upstart","true","","2024-03-16T01:38:53.000Z","Quick approval and use them before and use them again","5","Quick approval and use them before and…","https://trustpilot.com/reviews/65f4dc0c22077592c9e626f1","Juan"
